order_id,order_date,product_id,product_name,sales
AG-2011-2040,01-01-2011,OFF-TEN-10000025,"Tenex Lockers, Blue",408
IN-2011-47883,01-01-2011,OFF-SU-10000618,"Acme Trimmer, High Speed",120
HU-2011-1220,01-01-2011,OFF-TEN-10001585,"Tenex Box, Single Width",66
IT-2011-3647632,01-01-2011,OFF-PA-10001492,"Enermax Note Cards, Premium",45
IN-2011-47883,01-01-2011,FUR-FU-10003447,"Eldon Light Bulb, Duo Pack",114
IN-2011-47883,01-01-2011,OFF-PA-10001968,"Eaton Computer Printout Paper, 8.5 x 11",55
CA-2011-1510,02-01-2011,TEC-OKI-10002750,"Okidata Inkjet, Wireless",314
IN-2011-79397,03-01-2011,OFF-AP-10000304,"Hoover Microwave, White",276
ID-2011-80230,03-01-2011,TEC-CO-10004182,"Hewlett Wireless Fax, Laser",912
IZ-2011-4680,03-01-2011,FUR-NOV-10002791,"Novimex Swivel Stool, Set of Two",667
IN-2011-65159,03-01-2011,OFF-ST-10003020,"Tenex Lockers, Industrial",338
IN-2011-65159,03-01-2011,FUR-TA-10002797,"Chromcraft Round Table, Adjustable Height",211
ES-2011-4869686,03-01-2011,FUR-BO-10000728,"Dania Corner Shelving, Traditional",854
IN-2011-33652,03-01-2011,TEC-CO-10000594,"Hewlett Fax and Copier, Laser",193
ID-2011-80230,03-01-2011,FUR-CH-10000214,"Hon Rocking Chair, Set of Two",159
MX-2011-160234,03-01-2011,TEC-PH-10002647,"Nokia Headset, VoIP",195
IR-2011-770,03-01-2011,OFF-BRE-10003081,"Breville Coffee Grinder, Black",123
ID-2011-80230,03-01-2011,TEC-AC-10002881,"Belkin Numeric Keypad, Bluetooth",69
ID-2011-80230,03-01-2011,FUR-CH-10000666,"SAFCO Chairmat, Black",69
ID-2011-12596,03-01-2011,OFF-ST-10002066,"Smead File Cart, Blue",135
IN-2011-79397,03-01-2011,OFF-LA-10003396,"Avery Color Coded Labels, Laser Printer Compatible",36
IR-2011-7690,03-01-2011,OFF-BIC-10000582,"BIC Sketch Pad, Water Color",52
IR-2011-770,03-01-2011,OFF-ROG-10004393,"Rogers Folders, Industrial",62
TZ-2011-7370,03-01-2011,OFF-STI-10000388,"Stiletto Scissors, Serrated",81
IZ-2011-4680,03-01-2011,OFF-CAM-10004338,"Cameo Interoffice Envelope, Set of 50",47
IN-2011-65159,03-01-2011,OFF-FA-10002569,"Stockwell Staples, Metal",6
IR-2011-770,03-01-2011,OFF-ADV-10000213,"Advantus Rubber Bands, Metal",17
MX-2011-111255,04-01-2011,FUR-BO-10001498,"Dania Classic Bookcase, Pine",1648
MX-2011-140641,04-01-2011,TEC-AC-10001082,"Enermax Keyboard, Bluetooth",223
MX-2011-158771,04-01-2011,OFF-EN-10000857,"Jiffy Interoffice Envelope, Set of 50",186
ES-2011-4939443,04-01-2011,OFF-AR-10001546,"Binney & Smith Sketch Pad, Easy-Erase",140
MX-2011-111255,04-01-2011,OFF-SU-10003629,"Fiskars Letter Opener, Easy Grip",149
MX-2011-140641,04-01-2011,TEC-CO-10002998,"Sharp Ink, Laser",166
US-2011-136007,04-01-2011,OFF-EN-10004956,"Jiffy Interoffice Envelope, Set of 50",74
MX-2011-159373,04-01-2011,FUR-CH-10004827,"SAFCO Chairmat, Black",38
MX-2011-159373,04-01-2011,TEC-AC-10003081,"Memorex Mouse, USB",38
MX-2011-159373,04-01-2011,OFF-EN-10002816,"Kraft Peel and Seal, Recycled",39
IT-2011-2942451,04-01-2011,OFF-AR-10002485,"Boston Markers, Easy-Erase",27
